ID,PIN,Address,Managing Organization,Property Status,Date of Acquisition,Sq. Ft.,Ward,Community Area Number,Community Area Name,Zoning Classification,Last Update,Latitude,Longitude,Location
37119,20-09-417-028-0000,5411 S PRINCETON AVE,CBB Round 1,Owned by City,9/2/66,0,20,37,FULLER PARK,RS-3,5/8/24,41.7959373,-87.6326705,"(41.79593729733392, -87.63267053742993)"
51286,20-09-419-004-0000,5313 S WENTWORTH AVE,AIS,Owned by City,9/7/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7977496,-87.6303507,"(41.797749624509756, -87.6303506678665)"
12200,17-17-107-027-0000,1434 W ADAMS ST,None,Owned by City,9/7/66,0,27,28,NEAR WEST SIDE,PD 103,5/8/24,41.8793169,-87.6633078,"(41.87931686361278, -87.66330775373045)"
51149,20-09-421-006-0000,5313 S LA SALLE ST,AIS,Owned by City,9/12/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7977269,-87.6293902,"(41.79772691935568, -87.62939024908438)"
51235,20-09-419-019-0000,5312 S LA SALLE ST,AIS,Owned by City,9/12/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7978296,-87.6299965,"(41.79782963613897, -87.62999654461194)"
51264,20-09-421-002-0000,5303 S LA SALLE ST,AIS,Owned by City,9/15/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7980212,-87.6300018,"(41.79802119892848, -87.63000181234965)"
51294,20-09-419-006-0000,5317 S WENTWORTH AVE,AIS,Owned by City,9/21/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7975662,-87.6303321,"(41.79756619345017, -87.63033210063102)"
51036,20-09-419-023-0000,5324 S LA SALLE ST,AIS,Owned by City,9/30/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7974356,-87.6299857,"(41.797435576149795, -87.62998570798754)"
51081,20-09-421-001-0000,5301 S LA SALLE ST,AIS,Owned by City,10/1/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7981248,-87.6294012,"(41.7981247558193, -87.6294011726468)"
51078,20-09-419-017-0000,5308 S LA SALLE ST,AIS,Owned by City,10/3/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7979475,-87.6299998,"(41.79794748256219, -87.62999983013752)"
51014,20-09-419-015-0000,5300 S LA SALLE ST,AIS,Owned by City,10/20/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7981096,-87.6300042,"(41.7981096072055, -87.63000421916497)"
50725,17-18-102-051-0000,2120 W MONROE ST,None,Owned by City,11/18/66,0,27,28,NEAR WEST SIDE,PD 575,5/8/24,41.8803547,-87.6803686,"(41.88035467975923, -87.68036859014964)"
51165,20-09-419-003-0000,5311 S WENTWORTH AVE,AIS,Owned by City,11/30/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7978381,-87.6303531,"(41.79783806027123, -87.63035305610958)"
51183,20-09-419-002-0000,5307 S WENTWORTH AVE,AIS,Owned by City,11/30/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7979265,-87.6303555,"(41.797926466972555, -87.63035545803817)"
51258,20-09-419-001-0000,5303 S WENTWORTH AVE,AIS,Owned by City,11/30/66,0,20,37,FULLER PARK,M1-2,3/14/24,41.7980591,-87.6303591,"(41.79805906312484, -87.63035905123377)"
66460,20-17-426-026-0000,6220 S CARPENTER ST,DPD - Planning,Owned by City,12/30/66,0,16,68,ENGLEWOOD,RS-3,5/8/24,41.7807831,-87.6512405,"(41.780783109139634, -87.65124050231022)"
51173,20-09-421-005-0000,5309 S LA SALLE ST,AIS,Owned by City,1/4/67,0,20,37,FULLER PARK,M1-2,3/14/24,41.7978065,-87.6293925,"(41.797806504009394, -87.6293924590185)"
59405,14-33-303-060-0000,1940 N LARRABEE ST,AIS,Owned by City,8/28/67,,43,07,LINCOLN PARK,RM-5,3/14/24,41.9176352,-87.6439927,"(41.917635236520304, -87.6439927298767)"
35466,17-07-327-022-0000,2048 W WARREN BLVD,DPD - Planning,Owned by City,10/3/67,0,27,28,NEAR WEST SIDE,C1-3,5/20/24,41.8824656,-87.6786052,"(41.88246561779373, -87.67860524733169)"
12446,17-21-304-016-0000,1701 S RUBLE ST,None,Sold,10/30/67,2232,25,31,LOWER WEST SIDE,RT-4,3/14/24,41.8590679,-87.6435706,"(41.859067900130995, -87.64357059099578)"
67765,13-26-415-030-0000,2610 N MILWAUKEE AVE,CDOT,Owned by City,12/29/67,,35,22,LOGAN SQUARE,B3-3,3/14/24,41.9290361,-87.7078491,"(41.92903607452331, -87.70784905628092)"
51025,20-09-419-018-0000,5310 S LA SALLE ST,None,Owned by City,2/27/68,0,20,37,FULLER PARK,M1-2,5/8/24,41.7978885,-87.6299981,"(41.797888535022956, -87.62999814464985)"
62313,17-34-308-029-0000,3666 S INDIANA AVE,DPD - Real Estate,Owned by City,4/23/68,0,3,35,DOUGLAS,RM-5,5/20/24,41.8277049,-87.6220985,"(41.827704899586706, -87.62209848790752)"
63554,17-19-213-016-0000,1817 W HASTINGS ST,None,Owned by City,4/23/68,,28,28,NEAR WEST SIDE,PD 30,5/8/24,41.8638359,-87.6720509,"(41.86383591328415, -87.6720509133194)"
58501,16-12-416-032-0000,2554 W MAYPOLE AVE,DPD - Business Development,Owned by City,4/24/68,0,27,28,NEAR WEST SIDE,PMD-4,3/14/24,41.8839442,-87.6906563,"(41.883944162359235, -87.69065628408237)"
12020,17-07-327-020-0000,2054 W WARREN BLVD,DPD - Planning,Owned by City,7/25/68,0,27,28,NEAR WEST SIDE,RT-4,5/20/24,41.8824625,-87.6787987,"(41.88246252133824, -87.67879869575034)"
59273,20-02-106-028-0000,4018 S ELLIS AVE,None,Owned by City,7/30/68,0,4,36,OAKLAND,RM-5,5/8/24,41.8212439,-87.6038737,"(41.82124394381153, -87.60387371015149)"
67730,17-22-300-013-0000,1721 S STATE ST,Park District,Owned by City,8/1/68,,3,33,NEAR SOUTH SIDE,DX-5,3/14/24,41.858313,-87.6270612,"(41.85831302256965, -87.62706119979126)"
62302,17-19-213-020-0000,1809 W HASTINGS ST,None,Owned by City,8/1/68,0,28,28,NEAR WEST SIDE,PD 30,5/8/24,41.8647437,-87.6718115,"(41.86474369498648, -87.67181153933392)"
68409,26-05-109-020-0000,9008 S MACKINAW AVE,None,Owned by City,8/6/68,,10,46,SOUTH CHICAGO,RS-2,3/14/24,41.7315343,-87.5433349,"(41.73153428132636, -87.54333490979049)"
58503,16-13-101-035-0000,3038 W FIFTH AVE,DPD - Open Space,Sold,8/6/68,0,28,27,EAST GARFIELD PARK,RT-4,3/14/24,41.8795062,-87.7027044,"(41.8795062082067, -87.70270444282238)"
58690,16-12-415-024-0000,2703 W LAKE ST,None,Owned by City,8/6/68,0,27,27,EAST GARFIELD PARK,M2-2,5/8/24,41.8841143,-87.6941588,"(41.88411428667141, -87.69415883212535)"
35169,20-03-217-033-0000,4143 S VINCENNES AVE,None,Owned by City,9/26/68,0,4,38,GRAND BOULEVARD,RT-4,5/8/24,41.8188508,-87.6132986,"(41.81885075921095, -87.6132985993493)"
62997,17-19-213-023-0000,1801 W HASTINGS ST,None,Owned by City,10/14/68,0,28,28,NEAR WEST SIDE,PD 30,5/8/24,41.8647488,-87.6714587,"(41.86474880803056, -87.6714587381993)"
12502,17-19-214-006-0000,1747 W HASTINGS ST,None,Sold,10/28/68,0,28,28,NEAR WEST SIDE,PD 30,3/14/24,41.8640021,-87.6707266,"(41.86400207934572, -87.67072658208487)"
58505,17-19-107-016-0000,2021 W WASHBURNE AVE,AIS,Owned by City,10/28/68,0,28,28,NEAR WEST SIDE,PD 30,3/14/24,41.8655625,-87.6770874,"(41.86556246058287, -87.67708739385893)"
15460,17-34-306-029-0000,3644 S WABASH AVE,None,Sold,11/22/68,0,3,35,DOUGLAS,RM-5,3/14/24,41.8282368,-87.6253985,"(41.82823683684337, -87.62539845563406)"
62884,20-08-406-017-0000,929 W 51ST PL,None,Owned by City,12/27/68,0,20,61,NEW CITY,RS-3,5/8/24,41.8003674,-87.6489431,"(41.80036742590187, -87.64894312577428)"
10884,16-13-112-011-0000,217 S KEDZIE AVE,None,Owned by City,1/24/69,0,28,27,EAST GARFIELD PARK,RM-5,5/8/24,41.8778457,-87.7056581,"(41.877845669107764, -87.7056581250676)"
62356,20-03-418-013-0000,633 E 45TH ST,DOH,Owned by City,1/27/69,0,3,38,GRAND BOULEVARD,RT-4,5/20/24,41.8128631,-87.6101704,"(41.81286312062772, -87.61017041715759)"
37605,20-21-315-008-0000,6915 S UNION AVE,None,Owned by City,1/28/69,0,6,68,ENGLEWOOD,RS-3,5/8/24,41.7683311,-87.6416883,"(41.76833109293209, -87.64168830726535)"
12348,17-19-205-025-0000,1334 S WOOD ST,None,Sold,1/28/69,0,28,28,NEAR WEST SIDE,PD 30,3/14/24,41.865583,-87.6716147,"(41.86558303416975, -87.67161467951765)"
58507,16-13-234-017-0000,2433 W CONGRESS PKWY,DOH,Owned by City,1/28/69,0,28,28,NEAR WEST SIDE,RT-3.5,3/14/24,41.8748788,-87.6876452,"(41.87487879185178, -87.68764519657807)"
35533,16-13-223-023-0000,2750 W VAN BUREN ST,None,Owned by City,1/28/69,0,27,27,EAST GARFIELD PARK,C1-3,5/8/24,41.8762105,-87.6956932,"(41.87621045464471, -87.69569316846923)"
9207,16-11-412-035-0000,3330 W MAYPOLE AVE,None,Owned by City,2/7/69,0,28,27,EAST GARFIELD PARK,RM-5,5/8/24,41.8838384,-87.7099525,"(41.88383840336729, -87.7099525298251)"
63253,20-16-206-072-0000,5616 S LAFAYETTE AVE,None,Owned by City,2/27/69,0,20,40,WASHINGTON PARK,RS-3,5/8/24,41.7922042,-87.6270298,"(41.79220417491478, -87.62702982980593)"
34702,16-23-106-020-0000,1245 S MILLARD AVE,DPD - Large Lots,Owned by City,2/27/69,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8649691,-87.7162455,"(41.864969096847204, -87.7162455406359)"
58524,16-13-325-034-0000,1140 S ALBANY AVE,None,Owned by City,2/28/69,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8670534,-87.703598,"(41.86705336152826, -87.7035980233593)"
62677,20-03-425-010-0000,4637 S ST LAWRENCE AVE,None,Owned by City,4/1/69,0,4,38,GRAND BOULEVARD,RM-5,5/8/24,41.8101862,-87.6111147,"(41.81018617686662, -87.61111467654773)"
59285,16-23-318-013-0000,2101 S HARDING AVE,None,Owned by City,4/1/69,0,24,29,NORTH LAWNDALE,RT-4,5/8/24,41.8533143,-87.7231901,"(41.85331425970664, -87.72319007593227)"
11648,16-13-326-038-0000,3048 W ROOSEVELT RD,None,Owned by City,4/1/69,0,28,29,NORTH LAWNDALE,C1-3,5/8/24,41.8667443,-87.7027324,"(41.86674425588001, -87.70273238644012)"
